entity_id,state,datetime
sensor.buro_temperatur_temperature,20.71,2024-12-03T19:30:57.193Z
sensor.buro_temperatur_temperature,20.34,2024-12-03T19:56:39.701Z
sensor.buro_temperatur_temperature,20.29,2024-12-03T20:00:57.063Z
sensor.buro_temperatur_temperature,19.97,2024-12-03T20:26:39.654Z
sensor.buro_temperatur_temperature,19.93,2024-12-03T20:30:57.045Z
sensor.buro_temperatur_temperature,19.61,2024-12-03T21:00:57.011Z
sensor.buro_temperatur_temperature,19.38,2024-12-03T21:30:56.964Z
sensor.buro_temperatur_temperature,19.19,2024-12-03T22:00:56.981Z
sensor.buro_temperatur_temperature,19.01,2024-12-03T22:30:56.961Z
sensor.buro_temperatur_temperature,18.87,2024-12-03T23:00:56.875Z
sensor.buro_temperatur_temperature,18.73,2024-12-03T23:30:56.816Z
sensor.buro_temperatur_temperature,18.6,2024-12-04T00:00:56.769Z
sensor.buro_temperatur_temperature,18.48,2024-12-04T00:30:56.649Z
sensor.buro_temperatur_temperature,18.35,2024-12-04T01:00:56.618Z
sensor.buro_temperatur_temperature,18.24,2024-12-04T01:30:56.530Z
sensor.buro_temperatur_temperature,18.13,2024-12-04T02:00:56.409Z
sensor.buro_temperatur_temperature,18,2024-12-04T02:30:56.312Z
sensor.buro_temperatur_temperature,17.89,2024-12-04T03:00:56.176Z
sensor.buro_temperatur_temperature,17.78,2024-12-04T03:30:56.088Z
sensor.buro_temperatur_temperature,17.69,2024-12-04T04:00:56.032Z
sensor.buro_temperatur_temperature,17.61,2024-12-04T04:30:55.976Z
sensor.buro_temperatur_temperature,17.5,2024-12-04T05:00:55.948Z
sensor.buro_temperatur_temperature,17.41,2024-12-04T05:30:55.876Z
sensor.buro_temperatur_temperature,17.3,2024-12-04T06:00:55.764Z
sensor.buro_temperatur_temperature,17.21,2024-12-04T06:30:55.714Z
sensor.buro_temperatur_temperature,17.11,2024-12-04T07:00:55.641Z
sensor.buro_temperatur_temperature,17.04,2024-12-04T07:30:55.606Z
sensor.buro_temperatur_temperature,16.98,2024-12-04T08:00:55.530Z
sensor.buro_temperatur_temperature,16.93,2024-12-04T08:30:55.579Z
sensor.buro_temperatur_temperature,16.88,2024-12-04T09:00:55.574Z
sensor.buro_temperatur_temperature,16.79,2024-12-04T09:30:55.505Z
sensor.buro_temperatur_temperature,16.78,2024-12-04T10:00:55.457Z
sensor.buro_temperatur_temperature,17.24,2024-12-04T10:16:38.194Z
sensor.buro_temperatur_temperature,17.72,2024-12-04T10:26:38.252Z
sensor.buro_temperatur_temperature,17.91,2024-12-04T10:30:55.479Z
sensor.buro_temperatur_temperature,18.28,2024-12-04T10:41:38.229Z
sensor.buro_temperatur_temperature,18.6,2024-12-04T10:51:38.251Z
sensor.buro_temperatur_temperature,18.85,2024-12-04T11:00:55.392Z
sensor.buro_temperatur_temperature,19.18,2024-12-04T11:21:38.224Z
sensor.buro_temperatur_temperature,19.15,2024-12-04T11:30:55.386Z
sensor.buro_temperatur_temperature,18.92,2024-12-04T12:00:55.269Z
sensor.buro_temperatur_temperature,18.63,2024-12-04T12:30:55.087Z
sensor.buro_temperatur_temperature,18.69,2024-12-04T13:00:54.988Z
sensor.buro_temperatur_temperature,18.82,2024-12-04T13:30:54.941Z
sensor.buro_temperatur_temperature,18.59,2024-12-04T14:00:54.884Z
sensor.buro_temperatur_temperature,18.74,2024-12-04T14:30:54.764Z
sensor.buro_temperatur_temperature,19.05,2024-12-04T14:56:37.571Z
sensor.buro_temperatur_temperature,19.07,2024-12-04T15:00:54.706Z
sensor.buro_temperatur_temperature,19.08,2024-12-04T15:30:54.638Z
sensor.buro_temperatur_temperature,19.22,2024-12-04T16:00:54.634Z
sensor.buro_temperatur_temperature,19.53,2024-12-04T16:21:37.499Z
sensor.buro_temperatur_temperature,19.67,2024-12-04T16:30:54.646Z
sensor.buro_temperatur_temperature,19.92,2024-12-04T17:00:54.586Z
sensor.buro_temperatur_temperature,19.68,2024-12-04T17:30:54.539Z
sensor.buro_temperatur_temperature,19.44,2024-12-04T18:00:54.511Z
sensor.buro_temperatur_temperature,19.26,2024-12-04T18:30:54.443Z
sensor.buro_temperatur_temperature,19.08,2024-12-04T19:00:54.339Z
sensor.buro_temperatur_temperature,19.07,2024-12-04T19:30:54.233Z
sensor.buro_temperatur_temperature,18.85,2024-12-04T20:00:54.171Z
sensor.buro_temperatur_temperature,18.67,2024-12-04T20:30:54.118Z
sensor.buro_temperatur_temperature,18.53,2024-12-04T21:00:54.035Z
sensor.buro_temperatur_temperature,18.48,2024-12-04T21:30:53.915Z
sensor.buro_temperatur_temperature,18.35,2024-12-04T22:00:53.814Z
sensor.buro_temperatur_temperature,18.24,2024-12-04T22:30:53.781Z
sensor.buro_temperatur_temperature,18.09,2024-12-04T23:00:53.695Z
sensor.buro_temperatur_temperature,17.94,2024-12-04T23:30:53.561Z
sensor.buro_temperatur_temperature,17.84,2024-12-05T00:00:53.428Z
sensor.buro_temperatur_temperature,17.74,2024-12-05T00:30:53.414Z
sensor.buro_temperatur_temperature,17.63,2024-12-05T01:00:53.360Z
sensor.buro_temperatur_temperature,17.54,2024-12-05T01:30:53.358Z
sensor.buro_temperatur_temperature,17.43,2024-12-05T02:00:53.344Z
sensor.buro_temperatur_temperature,17.33,2024-12-05T02:30:53.375Z
sensor.buro_temperatur_temperature,17.25,2024-12-05T03:00:53.419Z
sensor.buro_temperatur_temperature,17.16,2024-12-05T03:30:53.319Z
sensor.buro_temperatur_temperature,17.09,2024-12-05T04:00:53.152Z
sensor.buro_temperatur_temperature,17,2024-12-05T04:30:53.071Z
sensor.buro_temperatur_temperature,16.93,2024-12-05T05:00:52.984Z
sensor.buro_temperatur_temperature,17.3,2024-12-05T05:26:35.939Z
sensor.buro_temperatur_temperature,17.39,2024-12-05T05:30:52.888Z
sensor.buro_temperatur_temperature,17.74,2024-12-05T05:46:35.952Z
sensor.buro_temperatur_temperature,17.94,2024-12-05T06:00:52.813Z
sensor.buro_temperatur_temperature,17.88,2024-12-05T07:00:52.757Z
sensor.buro_temperatur_temperature,17.78,2024-12-05T07:30:52.609Z
sensor.buro_temperatur_temperature,17.98,2024-12-05T08:00:52.603Z
sensor.buro_temperatur_temperature,18,2024-12-05T08:30:52.629Z
sensor.buro_temperatur_temperature,17.88,2024-12-05T09:00:52.571Z
sensor.buro_temperatur_temperature,17.84,2024-12-05T09:30:52.583Z
sensor.buro_temperatur_temperature,17.8,2024-12-05T10:00:52.690Z
sensor.buro_temperatur_temperature,17.94,2024-12-05T10:30:52.598Z
sensor.buro_temperatur_temperature,18.29,2024-12-05T10:46:35.609Z
sensor.buro_temperatur_temperature,18.62,2024-12-05T11:00:52.504Z
sensor.buro_temperatur_temperature,19.02,2024-12-05T11:16:35.601Z
sensor.buro_temperatur_temperature,19.24,2024-12-05T11:30:52.413Z
sensor.buro_temperatur_temperature,19.33,2024-12-05T12:00:52.269Z
sensor.buro_temperatur_temperature,19.21,2024-12-05T12:30:52.184Z
sensor.buro_temperatur_temperature,19.05,2024-12-05T13:00:52.151Z
sensor.buro_temperatur_temperature,18.85,2024-12-05T13:30:52.166Z
